Lifeline,14.62686567,35.39260221,56.15833874,76.92407528,97.68981181,119.5034327,140.0023198,160.5012069,181.000094,201.6344906,223.282915,243.7818021,264.2806892
FOX2,3176.837656,1839.948678,1248.714962,896.9147092,861.6812818,918.8545209,925.5889211,927.7054026,968.9110591,1032.305135,982.6758586,987.9491723,940.6854295
YDL157C,2758.24187,3513.795607,5066.365684,6996.471392,8107.569571,7977.403961,6381.621673,5044.680303,5041.913622,6031.505741,6498.590873,6459.858522,6163.031609
PCL6,1658.280545,891.5615052,961.1796144,898.1653283,888.9699739,931.7293151,1057.853377,1165.162685,1234.892702,1166.776615,1103.191922,1075.442704,1222.253716
PKP2,893.1957179,375.6502285,259.0138412,271.887341,316.900588,317.9330596,354.2250448,406.9313813,435.8921015,359.5243223,373.1247998,379.7555953,348.7304604
PHO8,2377.729994,1459.913001,1150.910362,2012.029694,2687.383431,2224.502378,1903.953327,2048.86233,2608.71857,2992.434776,2837.817869,2542.63014,2753.913194
DAT1,441.1183875,1013.321197,1209.637712,1361.442156,1232.420159,1227.196702,1271.054969,1247.721582,1044.539027,971.112991,1091.612669,1060.194509,1048.84269
COA1,1719.09871,1471.021429,1233.194324,1687.413827,1703.849986,2143.724839,2052.336386,1790.628374,1818.358486,2059.034087,1925.608787,1837.200687,1871.572088
YPR003C,603.3665734,541.3218948,710.401426,550.9762525,553.7840066,697.4320005,667.6006126,637.2107324,558.660266,558.7752918,523.0102534,526.1063782,580.0129888
AIF1,2849.602707,2980.104353,2726.139577,2604.214653,2216.80259,2009.882691,1799.714087,2042.224252,2233.473838,2214.665752,2168.402391,2093.166759,2079.768721
PRP40,2489.755725,2140.583229,2145.935694,1621.1202,1465.104576,1466.349113,1524.131478,1618.581941,1643.678858,1361.059134,1445.85992,1408.282614,1344.31003
YJL147C,550.9955077,715.2530758,607.1255248,711.48027,680.258594,745.5422494,688.769271,625.5998792,555.5591409,637.7387713,620.4801365,598.7659364,583.1919539
RRI1,455.393592,278.5980076,285.0035695,247.0795771,268.6901804,291.8979685,264.3713592,274.0004293,267.1277503,282.5053037,286.6910466,275.4987969,296.7570717
YNL320W,3150.226714,3289.981507,2337.103381,2631.746717,2836.831221,2619.389203,2543.716561,2614.36677,2682.955109,2733.055722,2812.17016,2710.894381,2987.209475
STE20,2095.353207,3379.049235,3042.594774,3848.944885,3518.672607,3289.623799,3534.337211,3677.730322,3648.9113,3568.456291,3842.693654,3567.583073,3700.654003
GRE1,6919.574654,2563.246506,433.5396371,226.2868322,204.0947271,251.5474277,218.2214463,175.9422438,197.6088298,211.7783555,184.7823711,207.6909818,193.7924103
MRPL31,1739.918089,1652.665614,1547.621016,1629.646734,1805.034151,1931.869666,2084.495745,2151.747803,2161.042976,2097.447214,1972.939979,1946.11726,1999.798599
SPC98,286.4051552,314.7306621,423.0925251,524.3512875,881.37013,873.9871708,690.3532286,449.8792789,321.5215638,427.3658335,529.3436856,609.0748875,501.9803404
OAR1,426.3597304,590.0520595,602.8155017,596.4970666,561.7339547,644.5097019,673.8955996,515.7088012,472.3229271,639.679554,606.1288988,503.6041112,517.5648529
AMD1,2373.142111,3338.61864,2749.866277,3549.111635,3093.102115,2835.092118,3089.143992,3073.992989,3017.376666,2976.881921,3033.5499,2942.310801,3155.829476
SBH1,8028.130904,7569.813713,8795.823401,8932.311332,10273.3912,11521.73289,11248.37351,9860.04622,9262.61306,9769.697885,10354.87477,10733.73991,10267.47458
POT1,359.3157364,254.9692894,235.0193013,171.6679177,178.1928623,201.3764418,202.8753419,168.5103386,173.1919478,172.9060734,162.3760602,160.0967197,178.8062226
YLR050C,5298.627811,3332.288037,2861.538947,3718.470614,4583.981134,3745.967752,2328.381085,1233.482611,1708.292656,2653.595098,2937.993177,2716.238689,2328.717222
CYC2,879.9778317,701.2597596,719.0536179,833.1948932,782.7378582,762.8046852,804.7715298,768.199649,872.3010479,878.0537545,814.9404639,746.1114662,818.8559591
COQ10,1051.428171,1008.70041,1083.363265,926.0176063,753.2983567,778.3786606,877.7319089,947.5093349,866.2453037,822.8651723,704.4516462,851.5706441,902.3486157
VIK1,265.9535818,237.2856537,290.0248858,325.3337697,512.808515,811.6751641,875.9869972,619.1403714,385.2008987,414.8403418,574.8944422,613.3684237,559.9296714
STP4,7419.200574,3797.659206,2403.920448,1822.321213,1576.669901,1830.583861,1630.404987,1744.717764,1918.455711,1818.055974,1922.838199,1608.79959,1624.122271
YDR056C,3808.533565,4172.869864,4117.128261,3902.245438,3968.512706,3620.493152,3767.888654,3640.89517,3653.198326,3717.900898,3593.087177,3833.889689,3905.343477
SAL1,900.3563222,806.5169816,751.6735653,835.5660636,770.109106,730.1715706,693.4577269,742.3270196,760.0982326,795.3211373,716.3132282,668.0285725,696.0711928
SRB8,517.7459342,948.391193,594.8012566,1018.286835,872.3862144,775.1195959,824.0150517,851.7057458,761.4529849,826.3417651,788.9979843,749.26761,839.9093136
STE7,776.938444,723.4176707,757.3881239,731.1101523,654.5549446,680.0934089,683.4258314,718.9155746,767.1933174,709.2405767,658.0863051,641.6913402,674.9486456
YCR024C-B,18144.43063,18631.91012,19340.90665,18265.65884,16806.39042,18155.63111,19960.47458,19689.78292,18925.55887,18887.00105,19199.81694,20569.60824,19033.26774
PEP4,22846.66652,21402.70932,16438.5701,9816.672484,6340.251282,5347.980792,5792.173595,6742.065939,8200.26631,8864.704071,9107.151077,9477.418257,9584.351699
