PCL1,0.0001,0.0008,0.0146,0.014,0.0058,0.0007,0.0002,0.0012,0.0083,0.0053,0.0014,0.0008
PCL1_2,0.0382,0,0.1662,0.1331,0.0352,0.038,0,0.0601,0.1293,0.0856,0.0255,0
PCL2_2,0.0092,0.0059,0.0064,0.0059,0.0018,0.0036,0.0017,0.0018,0.0018,0.0046,0.0015,0.0022
PDS1,0,0,0.0001,0.0009,0.0046,0.0117,0.0092,0.0021,0.0029,0.0051,0.0104,0.0035
PHD1,0.0086,0.0081,0.0046,0.0029,0.0021,0.0021,0.0017,0.0021,0.0044,0.0039,0.0035,0.0036
PLM2_1,0,0.0005,0.0011,0.0042,0.0038,0.0025,0.0011,0.0003,0.0034,0.0037,0.0015,0.0002
PLM2_2,0.0002,0,0,0.0011,0.0017,0.0001,0,0.0002,0.0004,0.0007,0.0002,0
RIM11_2,0.0501,0.0426,0.0446,0.0416,0.04,0.0448,0.0285,0.0439,0.0435,0.0425,0.0464,0.0371
SFG1_2,0.0004,0.0001,0.0003,0.0015,0.0002,0.0036,0.0084,0.0027,0.0018,0.0015,0.0063,0.0069
SIC1,0.0319,0.03,0.0266,0.0144,0.0058,0.0033,0.0021,0.0118,0.0151,0.0073,0.0048,0.0054
SIC1_2,0.0434,0.0406,0.0247,0.0113,0.0094,0.0071,0.0002,0.0104,0.0132,0.0029,0.0056,0.0064
STB1,0.3214,1.1626,0.9635,1.1037,0.9755,0.9687,1.3657,1.2839,2.0297,1.4186,1.8306,1.4976
STB1_2,0.008,0.0143,0.003,0.0117,0.0097,0.0162,0.0102,0.0043,0.004,0.0264,0.0233,0.0237
STB1_3,0.0053,0.0217,0.08,0.0638,0.0504,0.0612,0.1217,0,0.0321,0.1306,0.1215,0.1824
SWE1_2,0.0363,0.037,0.0389,0.0087,0.0802,0.0643,0.0369,0.0444,0.0235,0.0622,0.0577,0.0427
SWI4,0.0197,0.0137,0.0223,0.0273,0.0197,0.0304,0.0223,0.0258,0.0348,0.0308,0.0309,0.0237
