snR18,339.149,345.825,345.348,500.214,722.465,444.354,743.648,363.385,945.868,602.58,879.226,1365.99,838.128,532.455
snR189,106.056,425.856,302.943,38.413,144.873,141.883,361.08,38.246,59.465,133.25,40.491,65.79,44.917,82.935
snR19,18.032,35.666,33.29,7.178,17.663,20.922,23.501,6.618,8.662,10.736,6.225,11.179,7.774,12.998
snR190,345.581,3741.44,1890.42,160.111,834.347,1075.8,2514.6,165.493,378.031,1260.57,230.311,295.498,345.803,637.596
snR191,20.75,103.46,67.83,16.591,41.305,34.231,64.097,15.551,17.117,45.733,23.53,16.225,21.542,36.905
snR24,228.261,702.036,425.283,718.614,870.617,765.78,657.444,909.96,441.815,433.383,744.939,1402.55,774.591,609.05
snR3,74.09,170.626,160.981,21.464,80.725,56.735,202.193,26.466,20.03,74.982,19.001,16.543,29.597,40.423
snR30,35.504,77.516,49.387,20.223,33.937,45.947,58.452,32.597,47.174,48.539,41.883,51.011,37.624,42.103
snR31,125.499,268.383,213.591,116.061,140.433,208.292,270.512,177.424,184.183,185.874,170.887,229.467,221.509,207.237
snR32,105.244,272.787,329.744,36.586,98.746,133.735,311.725,48.446,43.56,77.576,31.184,42.701,48.952,65.944
snR33,447.841,864.226,707.775,370.541,437.959,603.677,1017.91,398.155,408.945,577.888,433.171,506.216,483.365,442.944
snR34,95.639,367.727,350.355,35.929,115.128,118.879,317.289,35.411,36.712,113.244,26.603,43.447,47.37,100.16
snR35,70.782,340.196,283.273,21.986,98.099,108.758,223.112,43.734,58.45,157.331,51.343,50.556,58.585,77.598
snR36,26.319,111.054,89.631,12.421,46.213,49.688,57.513,8.995,24.914,38.85,31.139,16.615,15.364,40.083
snR37,44.475,369.893,207.839,23.774,120.848,136.851,201.333,29.636,59.051,87.907,33.97,40.785,53.909,64.499
snR38,43.081,237.017,236.691,190.827,43.94,324.685,310.405,213.602,130.932,184.002,201.368,156.713,239.74,104.93
