# DLxJTK regulatory element scores computed on 2022-03-08 09:18:16
# pyDL file: /mnt/c/users/sophi/OneDrive/WIP/crypto/results/node_finding_20220308090355/pydl_results.tsv
# pyJTK file: /mnt/c/users/sophi/OneDrive/WIP/crypto/results/node_finding_20220308090355/pyjtk_results.tsv
	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
CNAG_06487	0.008440999999999999	0.011229228720538408	0.0015782932322102186	0.0015782932322102186	0.007863558017633991
CNAG_04412	0.043068	0.05729420951737331	4.256437478256426e-05	4.256437478256426e-05	0.008022262075985102
CNAG_03204	0.002079	0.002765734689017812	0.00715476931376985	0.00715476931376985	0.00893264038598546
CNAG_05752	0.023487	0.03124521916352157	0.00028931903680911724	0.00028931903680911724	0.009573784376488585
CNAG_00870	0.007161	0.009526419484394684	0.0021651646086239336	0.0021651646086239336	0.010764507397193762
CNAG_02721	0.024428000000000002	0.03249705001603035	0.00028931903680911724	0.00028931903680911724	0.010770383142504987
CNAG_03385	0.002255	0.002999870958987573	0.00715476931376985	0.00715476931376985	0.011201028562711754
CNAG_04496	0.015188	0.020204895842617858	0.0008200890291560615	0.0008200890291560615	0.011341524922265929
CNAG_04183	0.009729	0.012942680514408028	0.0015782932322102186	0.0015782932322102186	0.012017007025215683
CNAG_03044	0.019427	0.0258441211176282	0.0005842763650073882	0.0005842763650073882	0.013548924328955188
CNAG_02095	0.016247	0.02161370442158364	0.0008200890291560615	0.0008200890291560615	0.013878910374636176
CNAG_04692	0.079749	0.1060916670103326	1.1900284201002975e-05	1.1900284201002975e-05	0.014213506628694313
CNAG_06607	0.017485	0.0232606402296664	0.0008200890291560615	0.0008200890291560615	0.01729442017331751
CNAG_00681	0.011307	0.015041925025841459	0.0015782932322102186	0.0015782932322102186	0.018834938694356738
CNAG_04157	0.043838	0.05831855569849102	9.432073996906e-05	9.432073996906e-05	0.018879988579443722
CNAG_05415	0.030467	0.040530850779367814	0.00028931903680911724	0.00028931903680911724	0.02088861956341757
CNAG_01279	0.035287	0.04694299180922151	0.00020096368569239319	0.00020096368569239319	0.021638222642495954
CNAG_03977	0.04154	0.05526148099172674	0.00013832846754815092	0.00013832846754815092	0.02379868337756106
CNAG_02963	0.230679	0.3068768217065607	1.1076686658552578e-06	1.1076686658552578e-06	0.03201159233682639
CNAG_01916	0.04682	0.0622855690908196	0.00013832846754815092	0.00013832846754815092	0.03407355323043047
CNAG_03328	0.01054	0.014021569803870966	0.0021651646086239336	0.0021651646086239336	0.034122359112146304
CNAG_02085	0.036552999999999995	0.04862717656934491	0.00028931903680911724	0.00028931903680911724	0.03606692178457239
CNAG_00162	0.008376	0.011142757939015485	0.002949105775274055	0.002949105775274055	0.039884093531232484
CNAG_05156	0.00856	0.011387536766711144	0.002949105775274055	0.002949105775274055	0.04255625667147676
CNAG_07627	0.03926	0.05222835203984574	0.00028931903680911724	0.00028931903680911724	0.04468548127076037
CNAG_04869	0.002786	0.003706270728044071	0.009490433598653623	0.009490433598653623	0.04720448095532469
CNAG_05565	0.011791	0.015685799768258304	0.0021651646086239336	0.0021651646086239336	0.04772295055929595
CNAG_04018	0.0015480000000000001	0.002059334919961314	0.01639535426089891	0.01639535426089891	0.04774244084510257
CNAG_03716	0.034849	0.046360311773728576	0.00041288822369205786	0.00041288822369205786	0.04817661982110593
CNAG_05761	0.020636	0.027452477653954574	0.0011420362653821491	0.0011420362653821491	0.054516682000867726
CNAG_07824	0.085342	0.11353214518045122	4.256437478256426e-05	4.256437478256426e-05	0.06240546062612613
CNAG_04634	0.057877	0.07699491418772672	0.00013832846754815092	0.00013832846754815092	0.06435800198730995
CNAG_07415	0.045917	0.06108429038750882	0.00028931903680911724	0.00028931903680911724	0.07148143563370611
CNAG_00076	0.118227	0.15727970903247174	1.8408027780551308e-05	1.8408027780551308e-05	0.07164568619424491
CNAG_04621	0.008116	0.01079687481292379	0.00398915965652886	0.00398915965652886	0.08564776684153817
CNAG_07924	0.096788	0.12875898464678015	4.256437478256426e-05	4.256437478256426e-05	0.09103139415681555
CNAG_03484	0.20149	0.2680461195239052	4.793632417293383e-06	4.793632417293383e-06	0.09232287617284453
CNAG_06205	0.004712	0.0062684665005540785	0.00715476931376985	0.00715476931376985	0.09431637828604189
CNAG_06220	0.001102	0.001466012326742486	0.02767157727063674	0.02767157727063674	0.09795020038150554
CNAG_06902	0.021936	0.02918189328441304	0.0015782932322102186	0.0015782932322102186	0.13708464409863227
CNAG_03658	0.012768	0.016985522130533632	0.002949105775274055	0.002949105775274055	0.14062975823034599
CNAG_01293	0.057812	0.07690844340620381	0.00028931903680911724	0.00028931903680911724	0.14265394035366613
CNAG_04170	0.05890599999999999	0.0783638131752204	0.00028931903680911724	0.00028931903680911724	0.15090571514856638
CNAG_07756	0.010154	0.013508066393596372	0.00398915965652886	0.00398915965652886	0.16721120640519668
CNAG_00122	0.06124299999999999	0.08147277035089844	0.00028931903680911724	0.00028931903680911724	0.1695864560977774
CNAG_03745	0.080343	0.10688187692148053	0.00013832846754815092	0.00013832846754815092	0.17214460346538896
CNAG_03516	0.018308	0.024355493355718183	0.0021651646086239336	0.0021651646086239336	0.1782247720554199
CNAG_05033	0.162366	0.21599869096539973	1.8408027780551308e-05	1.8408027780551308e-05	0.1855739727469674
CNAG_00053	0.014038	0.01867502816951998	0.002949105775274055	0.002949105775274055	0.18679493510445352
CNAG_06162	0.014228999999999999	0.0189291192352258	0.002949105775274055	0.002949105775274055	0.19450886833595502
CNAG_05499	0.041264999999999996	0.05489564306989899	0.0008200890291560615	0.0008200890291560615	0.226984812134004
CNAG_01144	0.050637	0.06736339944578881	0.0005842763650073882	0.0005842763650073882	0.2396279436111528
CNAG_06746	0.011548000000000001	0.015362532077334144	0.00398915965652886	0.00398915965652886	0.2456613859183974
CNAG_04227	0.015388999999999998	0.02047229010548105	0.002949105775274055	0.002949105775274055	0.2459643031473942
CNAG_06148	0.091416	0.12161250713383948	0.00013832846754815092	0.00013832846754815092	0.2535754890651834
CNAG_03369	0.081337	0.1082042147189234	0.00020096368569239319	0.00020096368569239319	0.2648999517270943
CNAG_02785	0.056155	0.07470410363722713	0.0005842763650073882	0.0005842763650073882	0.32679918954242737
CNAG_05245	0.029511000000000003	0.03925906513112296	0.0015782932322102186	0.0015782932322102186	0.3336109323826357
CNAG_05632	0.013193	0.017550908009721974	0.00398915965652886	0.00398915965652886	0.36594732740902
CNAG_00677	0.031626	0.04207269132990732	0.0015782932322102186	0.0015782932322102186	0.41056780417086264
CNAG_05637	0.013797	0.018354421118027296	0.00398915965652886	0.00398915965652886	0.4184287510656521
CNAG_01907	0.018723	0.024907576037749152	0.002949105775274055	0.002949105775274055	0.4426206635112088
CNAG_03125	0.11114	0.14785173320704165	0.00013832846754815092	0.00013832846754815092	0.4556614718438233
CNAG_01334	0.113599	0.15112298938803964	0.00013832846754815092	0.00013832846754815092	0.48657949752920965
CNAG_01915	0.053821	0.07159913742069632	0.0008200890291560615	0.0008200890291560615	0.5035552825607734
CNAG_00172	0.033999	0.045229540015351885	0.0015782932322102186	0.0015782932322102186	0.5100555580821229
CNAG_01648	0.014772	0.01965148284087115	0.00398915965652886	0.00398915965652886	0.5133591631399743
CNAG_05699	0.034857	0.04637095433145448	0.0015782932322102186	0.0015782932322102186	0.5496405374144895
CNAG_05003	0.068242	0.09078367804134367	0.0005842763650073882	0.0005842763650073882	0.5864699891162183
CNAG_00110	0.011636	0.015479600212319028	0.005359873975059847	0.005359873975059847	0.5934878090982366
CNAG_02073	0.181799	0.2418507940013223	4.256437478256426e-05	4.256437478256426e-05	0.6032291871375524
CNAG_02385	0.015806999999999998	0.02102836374665924	0.00398915965652886	0.00398915965652886	0.6287958652336002
CNAG_06335	0.047846	0.06365047711916605	0.0011420362653821491	0.0011420362653821491	0.6787675438879248
CNAG_02345	0.060208000000000005	0.08009588944511034	0.0008200890291560615	0.0008200890291560615	0.7049161384585184
CNAG_05170	0.14870799999999998	0.19782918428785992	9.432073996906e-05	9.432073996906e-05	0.7367768134845566
CNAG_04828	0.19484400000000002	0.2592048146931152	4.256437478256426e-05	4.256437478256426e-05	0.7426223674594169
CNAG_05660	0.005413	0.007201020621285914	0.012511323172989766	0.012511323172989766	0.7501584544792641
CNAG_02194	0.0045060000000000005	0.0059944206391121975	0.01639535426089891	0.01639535426089891	0.9793496623884317
CNAG_02759	0.010359	0.013780781935322516	0.00715476931376985	0.00715476931376985	0.9824068518126491
CNAG_02051	0.528048	0.7024726652556408	2.9834424601805704e-06	2.9834424601805704e-06	1.0342146863282735
CNAG_02705	0.025827	0.034358167298346814	0.002949105775274055	0.002949105775274055	1.160901911232761
CNAG_07807	0.011094	0.014758566926389419	0.00715476931376985	0.00715476931376985	1.2058986989740603
CNAG_03487	0.08681799999999999	0.11549569708087945	0.0005842763650073882	0.0005842763650073882	1.207535060995657
CNAG_03586	0.02642	0.035147046889779016	0.002949105775274055	0.002949105775274055	1.242669852478983
CNAG_01562	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_04585	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
CNAG_07745	1e-06	1.3303197157372831e-06	1.0	1.0	1.3303234003933968
