# pyDL periodicity scores computed on 2022-03-08 09:17:54
# Calculation time:  837.654523 seconds
# Input files:  /mnt/c/users/sophi/OneDrive/WIP/crypto/data/crypto_rnaseq_norm_trim.tsv
# Period(s) of oscillation tested:  60.0000, 70.0000, 80.0000
# Number of random curves generated from background:  1000000
# Number of curve permutations:  1
	period	reg_score	per_score	p_reg	p_reg_norm	p_per	p_per_norm	p_tot	dl_score
CNAG_00017	70.0	0.07766879200440631	2.204596567420976	0.99999	1.3303064125401258	1e-06	1.0	1.3303064125401258	2354267098642.3037
CNAG_00018	60.0	0.208917930705358	1.1943384504899908	0.683139	0.9087932802890519	1e-06	1.0	0.9087932802890519	750578779187.0266
CNAG_00019	70.0	0.13425640628004049	2.9114107826925353	0.986143	1.3118854754363116	1e-06	1.0	1.3118854754363116	2257815540809.67
CNAG_00020	80.0	0.25678927110993094	1.8385958380310123	0.351797	0.468002485037229	1e-06	1.0	0.468002485037229	102505435364.87032
CNAG_00021	80.0	0.26257383607129003	1.9165893499653446	0.317041	0.421765892997064	1e-06	1.0	0.421765892997064	75026942029.9054
CNAG_00022	80.0	0.1691656437678436	1.7583498189289855	0.904478	1.2032449158506264	1e-06	1.0	1.2032449158506264	1742058922068.0344
CNAG_00023	70.0	0.33743559800064443	3.658347055255431	0.071618	0.09527483740167274	1e-06	1.0	0.09527483740167274	864933910.8259914
CNAG_00024	80.0	0.25330250608415783	1.093718920386766	0.373701	0.49714180809073844	1e-06	1.0	0.49714180809073844	122869206621.11525
CNAG_00025	80.0	0.33193150765252627	3.511550947941884	0.079867	0.10624864473678958	1e-06	1.0	0.10624864473678958	1199524440.4251761
CNAG_00026	70.0	0.11829729424876187	2.0844749849047624	0.996331	1.325438772700243	1e-06	1.0	1.325438772700243	2328518505277.907
CNAG_00027	80.0	0.23833279240609903	1.377891174244185	0.474027	0.6306074638917971	1e-06	1.0	0.6306074638917971	250771886292.62183
CNAG_00028	80.0	0.22200159519672202	1.9053407691578421	0.590783	0.7859302726224193	1e-06	1.0	0.7859302726224193	485459706968.65283
CNAG_00029	70.0	0.19913694108620045	2.8521973772190328	0.748439	0.9956631577266964	1e-06	1.0	0.9956631577266964	987047798924.5687
CNAG_00030	80.0	0.20636309097403463	2.0907713192583457	0.700614	0.9320406173215608	1e-06	1.0	0.9320406173215608	809665157858.7509
CNAG_00031	80.0	0.1429572386156081	2.177286095377192	0.975056	1.2971362207479324	1e-06	1.0	1.2971362207479324	2182516080158.8767
CNAG_00032	80.0	0.16580900513760277	1.279082885997554	0.917077	1.2200056139492004	1e-06	1.0	1.2200056139492004	1815876103401.2212
CNAG_00033	70.0	0.27993665949465246	3.1153487010744314	0.227787	0.3030295370886485	1e-06	1.0	0.3030295370886485	27826593960.891785
CNAG_00034	80.0	0.16401733153551723	1.1588265581831414	0.923271	1.228245614268477	1e-06	1.0	1.228245614268477	1852918802580.8293
CNAG_00035	80.0	0.103905446713806	1.5850605193947538	0.999269	1.329347252025079	1e-06	1.0	1.329347252025079	2349178440625.584
CNAG_00036	80.0	0.37049714772129616	0.6330302854344857	0.03921	0.05216183605405887	1e-06	1.0	0.05216183605405887	141977207.90398818
CNAG_00038	80.0	0.38839391029308057	1.6475881087615645	0.029723	0.03954109291085926	1e-06	1.0	0.03954109291085926	61862023.76910563
CNAG_00039	80.0	0.23755658275287123	1.4565547760441326	0.479535	0.6379348648860781	1e-06	1.0	0.6379348648860781	259615439098.13834
CNAG_00040	60.0	0.32562320385270815	1.6137549996701508	0.090406	0.12026888422094482	1e-06	1.0	0.12026888422094482	1739763853.9718761
