# pyJTK periodicity scores computed on 2022-03-08 09:17:55
# Calculation time: 0.001135 seconds
# Input file: /mnt/c/users/sophi/OneDrive/WIP/crypto/data/crypto_rnaseq_norm_trim.tsv
# Period(s) of oscillation tested: 60.0000, 70.0000, 80.0000
probe	p-value	amp	period	lag	tau
CNAG_00063	0.0015782932322102184	23.991	70.0	62.75	159.0
CNAG_00064	1.0	27.758250000000018	70.95238095238095	20.845238095238095	-73.0
CNAG_00065	1.0	85.37550000000005	70.95238095238095	43.416666666666664	-37.0
CNAG_00066	0.11701150627760835	4.002749999999997	80.0	67.75	127.0
CNAG_00067	1.0	35.40225	70.95238095238095	23.94047619047619	-85.0
CNAG_00068	1.0	13.259250000000002	70.95238095238095	30.797619047619047	-45.0
CNAG_00069	1.0	0.369	70.95238095238095	31.75	-45.0
CNAG_00070	1.0	2.03625	70.95238095238095	50.79761904761905	-15.0
CNAG_00072	1.0	98.80499999999998	70.95238095238095	32.607142857142854	-57.0
CNAG_00073	1.0	6.422250000000002	70.95238095238095	37.035714285714285	-53.0
CNAG_00074	0.614209037252029	41.471999999999994	70.0	32.75	-111.0
CNAG_00075	1.0	57.072	70.95238095238095	36.98809523809524	-47.0
CNAG_00076	1.8408027780551308e-05	6.5685	70.0	2.75	-183.0
CNAG_00077	1.0	19.824	70.95238095238095	38.55952380952381	-85.0
CNAG_00078	0.012511323172989766	6.914250000000001	70.0	37.75	145.0
CNAG_00079	0.2252303955977127	3.821249999999999	70.0	37.75	121.0
CNAG_00080	1.0	0.2542500000000003	70.95238095238095	34.845238095238095	-84.0
CNAG_00081	0.02767157727063674	6.2227499999999925	80.0	62.75	139.0
CNAG_00082	1.0	15.994499999999995	70.95238095238095	34.845238095238095	-91.0
CNAG_00083	0.614209037252029	3.623999999999998	80.0	67.75	111.0
CNAG_00084	0.2776437018849706	28.936499999999995	70.0	60.25	119.0
CNAG_00085	1.1900284201002975e-05	46.55549999999999	70.0	7.75	-185.0
CNAG_00086	1.0	34.929750000000006	70.95238095238095	33.464285714285715	-51.0
CNAG_00087	1.0	11.472749999999998	70.95238095238095	44.51190476190476	-25.0
CNAG_00088	1.0	96.32400000000001	70.95238095238095	27.13095238095238	-55.0
CNAG_00089	1.0	29.477249999999998	70.95238095238095	36.416666666666664	-55.0
CNAG_00090	0.016395354260898914	15.726000000000008	70.0	37.75	143.0
CNAG_00091	1.0	21.238500000000002	70.95238095238095	36.32142857142857	-104.0
CNAG_00092	1.0	106.85250000000002	70.95238095238095	33.17857142857143	-99.0
CNAG_00093	1.0	10.57425	70.95238095238095	37.75	-77.0
CNAG_00094	0.016395354260898914	0.6217499999999998	70.0	7.75	-143.0
CNAG_00095	1.0	14.8125	70.95238095238095	35.36904761904762	-33.0
CNAG_00096	1.0	1.4805000000000001	70.95238095238095	30.13095238095238	-71.0
CNAG_00097	0.0931842481503503	2.3977499999999994	80.0	27.75	-129.0
CNAG_00098	1.0	7.005749999999999	70.95238095238095	32.226190476190474	-37.0
CNAG_00099	0.14623145653648356	26.130749999999995	70.0	61.75	125.0
CNAG_00100	1.0	57.87074999999996	70.95238095238095	40.32142857142857	-91.0
CNAG_00101	0.0002009636856923932	31.05599999999999	70.0	37.75	171.0
CNAG_00104	1.0	164.49525	70.95238095238095	37.654761904761905	-91.0
CNAG_00105	1.0	1.7864999999999998	70.95238095238095	35.32142857142857	-51.0
CNAG_00106	0.03565001790208913	10.876500000000002	70.0	5.25	-137.0
CNAG_00107	1.0	20.202749999999998	70.95238095238095	39.17857142857143	-61.0
CNAG_00108	0.4164366890620728	32.01599999999999	70.0	60.25	115.0
CNAG_00109	1.0	33.92775000000002	70.95238095238095	41.98809523809524	-39.0
CNAG_00110	0.005359873975059848	31.503750000000004	70.0	37.75	151.0
CNAG_00111	0.3407601255807152	10.91549999999999	70.0	62.75	117.0
CNAG_00115	1.0	130.41825	70.95238095238095	28.416666666666668	-55.0
CNAG_00116	1.0	1446.63	70.95238095238095	44.75	-33.0
CNAG_00117	0.4164366890620728	10.728000000000023	70.0	52.75	115.0
CNAG_00118	0.02767157727063674	7.17975	80.0	37.75	-139.0
CNAG_00119	1.0	6.0554999999999986	70.95238095238095	43.083333333333336	-31.0
CNAG_00120	1.0	5.135999999999999	70.95238095238095	46.51190476190476	-33.0
CNAG_00121	1.0	328.41075	70.95238095238095	20.845238095238095	-55.0
CNAG_00122	0.00028931903680911724	15.948000000000002	70.0	32.75	-169.0
CNAG_00123	1.0	1.1557499999999998	70.95238095238095	35.607142857142854	-51.0
CNAG_00124	0.11701150627760835	5.565000000000001	70.0	22.75	-127.0
CNAG_00125	1.0	0.2789999999999999	70.95238095238095	27.607142857142858	-98.0
CNAG_00126	0.05823088090004787	23.534249999999993	70.0	42.75	133.0
CNAG_00127	0.00715476931376985	4.658249999999999	70.0	12.75	-149.0
CNAG_00128	0.0005842763650073882	1.3897499999999998	70.0	12.75	-165.0
CNAG_00129	1.0	4.437750000000001	70.95238095238095	30.13095238095238	-67.0
CNAG_00130	0.11701150627760835	38.62875000000001	80.0	70.25	127.0
CNAG_00131	1.0	1.1932499999999995	70.95238095238095	43.083333333333336	-63.0
CNAG_00132	1.0	0.30299999999999994	70.95238095238095	28.321428571428573	-104.0
CNAG_00133	1.0	3.350249999999999	70.95238095238095	37.75	-87.0
CNAG_00134	1.0	2.996249999999998	70.95238095238095	42.70238095238095	-28.0
CNAG_00135	1.0	14.902500000000003	70.95238095238095	46.416666666666664	-25.0
CNAG_00136	1.0	81.24150000000004	70.95238095238095	41.654761904761905	-47.0
CNAG_00137	1.0	36.90824999999999	70.95238095238095	20.94047619047619	-29.0
CNAG_00138	1.0	47.09699999999995	70.95238095238095	39.51190476190476	-63.0
CNAG_00139	1.0	68.66550000000001	70.95238095238095	34.13095238095238	-57.0
CNAG_00140	1.0	8.876999999999999	70.95238095238095	34.845238095238095	-69.0
CNAG_00141	0.04568219289251269	2.9850000000000003	80.0	17.75	-135.0
CNAG_00142	1.0	14.010749999999998	70.95238095238095	37.273809523809526	-87.0
CNAG_00143	0.2776437018849706	62.0175	70.0	57.75	119.0
CNAG_00144	1.0	3.4035	70.95238095238095	33.17857142857143	-93.0
CNAG_00145	0.009490433598653624	6.672000000000001	70.0	7.75	-147.0
CNAG_00146	1.0	12.789749999999998	70.95238095238095	39.035714285714285	-69.0
CNAG_00147	1.0	32.44949999999999	70.95238095238095	29.654761904761905	-85.0
CNAG_00148	1.0	7.530000000000002	70.95238095238095	41.75	-51.0
CNAG_00149	1.0	1526.5425	70.95238095238095	31.273809523809526	-57.0
CNAG_00150	1.0	20.973750000000013	70.95238095238095	24.035714285714285	-91.0
CNAG_00151	0.3407601255807152	7.004999999999997	70.0	62.75	117.0
CNAG_00152	1.0	3.371249999999998	70.95238095238095	41.845238095238095	-32.0
CNAG_00153	1.0	1.542749999999999	70.95238095238095	42.98809523809524	-43.0
CNAG_00154	1.0	19.18575	70.95238095238095	43.083333333333336	-27.0
CNAG_00155	1.0	0.1140000000000001	70.95238095238095	28.55952380952381	-88.0
CNAG_00156	1.0	4.45875	70.95238095238095	34.845238095238095	-77.0
CNAG_00157	0.8914012606101419	4.469999999999998	80.0	67.75	107.0
CNAG_00158	0.009490433598653624	2.6137499999999996	70.0	32.75	-147.0
CNAG_00159	1.0	10.454249999999995	70.95238095238095	41.654761904761905	-47.0
CNAG_00160	1.0	2.043	70.95238095238095	25.702380952380953	-75.0
CNAG_00161	1.0	2.7495000000000003	70.95238095238095	36.17857142857143	-53.0
CNAG_00162	0.002949105775274055	19.965000000000003	70.0	7.75	-155.0
CNAG_00163	1.0	1.87275	70.95238095238095	36.17857142857143	-83.0
CNAG_00164	0.8914012606101419	1.0597499999999997	70.0	12.75	-107.0
CNAG_00165	1.0	333.5055	70.95238095238095	22.178571428571427	-41.0
CNAG_00166	1.0	60.97124999999999	70.95238095238095	29.36904761904762	-73.0
CNAG_00167	1.0	7.380749999999998	70.95238095238095	36.845238095238095	-49.0
CNAG_00171	1.0	10.37175	70.95238095238095	37.51190476190476	-61.0
CNAG_00172	0.0015782932322102184	13.535249999999998	70.0	37.75	159.0
