time_points,0,7,14,21,28,35,42,49,56,63,70,77,84,91,98,105,112,119,126,133
SIC1_1_r1,0.0283,0.0319,0.03,0.0266,0.0144,0.0058,0.0045,0.0033,0.001,0.0021,0.0063,0.0118,0.017,0.0151,0.0144,0.0073,0.0058,0.0048,0.0038,0.0054
SIC1_2_r1,0.0299,0.0434,0.0406,0.0247,0.0113,0.0094,0.0044,0.0071,0.0034,0.0002,0.0031,0.0104,0.0102,0.0132,0.0119,0.0029,0.0055,0.0056,0.0045,0.0064
STB1_1_r1,0.759,0.3214,1.1626,0.9635,1.1037,0.9755,1.3168,0.9687,0.9637,1.3657,1.2332,1.2839,2.1971,2.0297,3.5227,1.4186,1.301,1.8306,1.275,1.4976
STB1_2_r1,0.006,0.008,0.0143,0.003,0.0117,0.0097,0.0133,0.0162,0.0172,0.0102,0.0204,0.0043,0.0233,0.004,0.0186,0.0264,0.0259,0.0233,0.0277,0.0237
STB1_3_r1,0.0473,0.0053,0.0217,0.08,0.0638,0.0504,0.0861,0.0612,0.1209,0.1217,0.1062,0.0,0.0489,0.0321,0.0941,0.1306,0.0526,0.1215,0.1096,0.1824
SWE1_2_r1,0.0221,0.0363,0.037,0.0389,0.0087,0.0802,0.0944,0.0643,0.1262,0.0369,0.0582,0.0444,0.0387,0.0235,0.0538,0.0622,0.0412,0.0577,0.0325,0.0427
SWI4_1_r1,0.0143,0.0197,0.0137,0.0223,0.0273,0.0197,0.0254,0.0304,0.0209,0.0223,0.0214,0.0258,0.0293,0.0348,0.0433,0.0308,0.0339,0.0309,0.0249,0.0237
SWI4_2_r1,0.0048,0.0045,0.0061,0.0085,0.0117,0.01,0.0117,0.0162,0.0101,0.0092,0.0059,0.0085,0.0131,0.0143,0.0245,0.0159,0.0189,0.0161,0.0159,0.0115
SWI4_3_r1,0.0084,0.01,0.0093,0.0139,0.0134,0.0151,0.0158,0.0171,0.0116,0.008,0.0122,0.0099,0.017,0.0173,0.0198,0.0202,0.0252,0.0197,0.0155,0.0169
SWI5_1_r1,0.0,0.0013,0.0,0.0008,0.0012,0.0,0.0017,0.004,0.0056,0.0218,0.0332,0.0061,0.0044,0.002,0.0014,0.0013,0.0028,0.0054,0.0048,0.0096
SWI5_3_r1,0.0001,0.0001,0.0003,0.0002,0.0003,0.0001,0.0,0.0004,0.0006,0.0016,0.006,0.0033,0.0013,0.001,0.0011,0.0002,0.0004,0.0009,0.003,0.0034
SWI6_1_r1,0.0551,0.0675,0.0635,0.031,0.0695,0.0648,0.0676,0.0876,0.0223,0.074,0.0962,0.0231,0.0313,0.0937,0.1128,0.0268,0.0901,0.1072,0.0877,0.0958
SWI6_2_r1,0.0203,0.0261,0.026,0.0319,0.0333,0.0288,0.0346,0.0345,0.0298,0.0335,0.038,0.0396,0.0537,0.0458,0.0584,0.0456,0.0456,0.0484,0.0358,0.036
TAF12_1_r1,0.086,0.0962,0.0857,0.0917,0.1001,0.0804,0.0938,0.105,0.0874,0.1057,0.1079,0.0936,0.1267,0.1219,0.1299,0.1024,0.1101,0.1093,0.0863,0.0929
TAF12_2_r1,0.0467,0.0238,0.0366,0.0589,0.079,0.0189,0.042,0.1089,0.0761,0.0699,0.0824,0.0507,0.0497,0.0344,0.1509,0.0841,0.0673,0.0803,0.0782,0.0855
TOS4_1_r1,0.001,0.0049,0.0008,0.0056,0.0179,0.0354,0.0176,0.0107,0.0078,0.005,0.0033,0.0031,0.0134,0.0217,0.0302,0.0117,0.0103,0.0125,0.0035,0.0033
TOS4_2_r1,0.001,0.0001,0.0,0.0043,0.0204,0.0308,0.0131,0.0093,0.0048,0.0017,0.001,0.0027,0.0103,0.0209,0.0253,0.0137,0.0097,0.0115,0.0038,0.003
UME6_1_r1,0.0015,0.0014,0.0008,0.0,0.0015,0.0005,0.0014,0.002,0.0011,0.0032,0.0026,0.0017,0.0004,0.0,0.0,0.0014,0.0019,0.0,0.0016,0.0021
UME6_2_r1,0.0159,0.0087,0.0129,0.0183,0.0172,0.0156,0.0169,0.0224,0.021,0.0209,0.0224,0.0202,0.025,0.0273,0.0333,0.0244,0.0186,0.0272,0.0202,0.0209
VPS9_1_r1,0.0529,0.0763,0.0573,0.0684,0.065,0.0586,0.0642,0.0726,0.0626,0.0776,0.0707,0.069,0.0758,0.0853,0.1023,0.0709,0.0761,0.0773,0.0589,0.0643
VPS9_2_r1,0.0553,0.0562,0.0592,0.0832,0.0653,0.0695,0.0701,0.0886,0.0729,0.0723,0.0966,0.0846,0.0967,0.0953,0.1285,0.0974,0.1078,0.1032,0.0908,0.0884
WHI5_1_r1,0.0072,0.0165,0.0051,0.0043,0.0113,0.008,0.0078,0.0026,0.0046,0.0084,0.0039,0.0123,0.0053,0.0129,0.0079,0.0041,0.0076,0.0122,0.0023,0.0038
YHP1_1_r1,0.0102,0.0324,0.0111,0.0047,0.0075,0.0116,0.0101,0.0143,0.0097,0.0138,0.002,0.0146,0.0062,0.047,0.0284,0.0074,0.0205,0.0053,0.0132,0.0018
YHP1_2_r1,0.0,0.0013,0.0002,0.002,0.0,0.0034,0.0,0.003,0.0013,0.0013,0.0,0.0,0.0,0.0034,0.0,0.0,0.0012,0.0027,0.0,0.0
YOX1_1_r1,0.0003,0.0004,0.0001,0.0006,0.002,0.0022,0.0016,0.0007,0.0004,0.0002,0.0006,0.0003,0.001,0.0015,0.004,0.0012,0.0003,0.001,0.0002,0.0003
YOX1_2_r1,0.0,0.0,0.0,0.003,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0021,0.0014,0.001,0.0,0.0,0.0
