Lifeline	14.62686567	35.39260221	56.15833874	76.92407528	97.68981181	119.5034327	140.0023198	160.5012069	181.000094	201.6344906	223.282915	243.7818021	264.2806892	284.7795763	305.7556421
FOX2	3176.83765583959	1839.9486781196802	1248.71496178341	896.9147092105279	861.6812818415041	918.8545208948891	925.5889210701621	927.7054026333569	968.911059148645	1032.30513451086	982.675858608815	987.949172293996	940.685429456487	957.905302306055	1009.04320844261
YDL157C	2758.24187010585	3513.7956065930703	5066.3656835935	6996.471391582671	8107.5695714350095	7977.403961362479	6381.62167295495	5044.6803029474795	5041.91362229322	6031.50574050783	6498.590873128879	6459.85852221056	6163.031608702579	5978.81912667272	5792.09167767023
PCL6	1658.28054491271	891.561505159808	961.1796144145301	898.16532829901	888.969973858138	931.729315146946	1057.85337740068	1165.16268478946	1234.8927022907199	1166.77661516639	1103.1919215996002	1075.44270395298	1222.2537160188099	1173.1193466847699	1235.2581113454
PKP2	893.19571789804	375.650228489692	259.013841155025	271.887340999464	316.900587958216	317.93305957022096	354.225044806274	406.93138126016197	435.892101543295	359.52432233865403	373.124799753052	379.75559526854204	348.730460417174	407.141178894926	372.555663288779
PHO8	2377.72999419568	1459.91300114251	1150.9103621620698	2012.0296941828399	2687.3834308506	2224.50237802119	1903.95332743448	2048.86232999331	2608.7185695927697	2992.4347757319106	2837.81786934453	2542.6301395029	2753.91319418778	2981.62843447026	3426.34439251841
DAT1	441.11838751118796	1013.3211965373	1209.6377123391999	1361.44215602594	1232.42015913922	1227.1967017925801	1271.0549692422699	1247.7215822773899	1044.5390271751198	971.112991047725	1091.61266866649	1060.1945085904902	1048.84268986389	1043.3526854981199	1026.66218497991
COA1	1719.09870982242	1471.02142911397	1233.19432398368	1687.4138268086901	1703.8499859395802	2143.72483940312	2052.33638640102	1790.6283744616198	1818.35848627221	2059.03408683003	1925.60878736297	1837.20068693915	1871.57208846035	2031.62810757603	1999.67667835
YPR003C	603.366573362633	541.321894802787	710.401425989418	550.976252536413	553.7840066249389	697.432000537334	667.600612559075	637.21073235472	558.660266048041	558.775291768574	523.010253383917	526.106378158066	580.012988831052	558.952918488597	532.794163524712
AIF1	2849.6027070907503	2980.1043525064897	2726.13957681672	2604.21465320596	2216.802589872	2009.8826912758898	1799.7140873305398	2042.2242519548802	2233.47383758633	2214.66575156866	2168.40239111246	2093.1667587310603	2079.76872111705	1962.8434690400302	2091.34486656629
PRP40	2489.7557254590197	2140.58322858418	2145.9356938095398	1621.12020038639	1465.1045760536902	1466.3491131484197	1524.13147843814	1618.58194115901	1643.6788578126502	1361.05913359381	1445.85991961557	1408.28261394374	1344.31002988696	1271.63349953065	1269.2569694455199
YJL147C	550.995507715828	715.2530757987649	607.125524792385	711.4802700283459	680.258593997084	745.542249420704	688.7692709936	625.599879230955	555.5591408634	637.7387712989599	620.480136547009	598.76593644041	583.191953877433	551.391203727054	573.559680574322
RRI1	455.393592037865	278.598007578344	285.003569495901	247.07957714435298	268.690180385426	291.897968531373	264.371359205953	274.000429324084	267.127750262854	282.505303698217	286.691046570887	275.498796855721	296.757071683544	318.669112213901	291.451419712998
YNL320W	3150.22671385365	3289.9815071565804	2337.103381006	2631.74671658496	2836.83122109743	2619.38920326127	2543.71656109967	2614.36676968121	2682.95510896478	2733.0557223964897	2812.17015956487	2710.89438120847	2987.20947506526	3029.26946737047	3088.8730954095195
STE20	2095.3532067625897	3379.049235414	3042.5947743760103	3848.9448850849	3518.6726072561896	3289.6237985196303	3534.3372111835997	3677.73032221669	3648.91129957313	3568.45629051867	3842.6936543554602	3567.58307304535	3700.6540028034706	3663.59543886859	3681.75491397096
GRE1	6919.57465383058	2563.24650621617	433.53963714688797	226.28683222100398	204.094727137462	251.54742769070802	218.221446296361	175.942243778615	197.60882977873797	211.778355458694	184.78237110176002	207.69098183211602	193.792410310512	243.42875330042003	189.66830278247798
MRPL31	1739.91808911133	1652.6656140857299	1547.6210162134303	1629.6467339210299	1805.0341506365398	1931.8696657086398	2084.49574455794	2151.7478025989103	2161.04297564835	2097.44721436709	1972.9399792469897	1946.1172597350896	1999.79859851317	2021.6796896631	2069.38974167733
SPC98	286.405155154549	314.730662071498	423.09252511740897	524.351287499692	881.370129986053	873.9871708203909	690.353228550232	449.87927886443606	321.521563802246	427.365833465495	529.343685641618	609.074887481555	501.980340389459	561.6990199680461	568.017886962797
OAR1	426.35973035821405	590.052059488009	602.815501712545	596.497066632245	561.733954697957	644.509701927395	673.89559961959	515.708801159652	472.322927102114	639.6795540235411	606.128898823779	503.604111216594	517.564852911535	588.310351844034	534.375204251513
AMD1	2373.14211093507	3338.61864038982	2749.8662767886403	3549.111635172	3093.1021154438	2835.09211761638	3089.14399194779	3073.99298876403	3017.37666557769	2976.88192108177	3033.5499003766	2942.3108005570803	3155.82947595096	3210.98215484839	3259.37860159925
SBH1	8028.1309037814	7569.81371336178	8795.82340122546	8932.31133220461	10273.391199952199	11521.732888750601	11248.3735086325	9860.04622040361	9262.61305969353	9769.69788542308	10354.874766877	10733.739909002801	10267.4745837229	9999.927679248149	9755.76991875339
POT1	359.31573643573097	254.96928939113	235.019301273124	171.667917741298	178.19286228202702	201.376441839792	202.875341921494	168.510338639807	173.19194778558102	172.906073403666	162.376060154285	160.096719744294	178.80622256420298	144.850480602541	164.05950508000402
YLR050C	5298.62781053406	3332.2880370401194	2861.53894742784	3718.47061395089	4583.981133630839	3745.9677524421704	2328.38108546083	1233.48261125469	1708.29265592574	2653.5950984891197	2937.9931767747603	2716.23868909963	2328.71722155602	2210.73769467488	2432.01333127822
