FKH1_1	0.0706	0.0584	0.0583	0.0344	0.031	0.0721	0.14400000000000002	0.2557	0.1519	0.1448	0.1271	0.1609	0.1534	0.1232	0.0972	0.1164	0.1844	0.1317	0.1584	0.14
FKH2_1	0.0097	0.0129	0.0139	0.0104	0.0092	0.0112	0.0131	0.0143	0.0167	0.0171	0.0182	0.0155	0.016	0.0167	0.0176	0.0154	0.0209	0.0148	0.0191	0.0203
FKH2_2	0.0635	0.1291	0.0981	0.0386	0.0408	0.0923	0.073	0.0596	0.0591	0.0851	0.0713	0.1644	0.0887	0.0933	0.2346	0.0503	0.19899999999999998	0.1522	0.0976	0.1904
GAT1_1	0.0847	0.0795	0.0726	0.0605	0.0749	0.0892	0.0756	0.0666	0.0706	0.0572	0.0473	0.0775	0.0714	0.0652	0.0674	0.0495	0.0574	0.0479	0.0556	0.0656
GAT1_2	0.0373	0.0405	0.0328	0.0214	0.0197	0.0342	0.0224	0.0306	0.0271	0.0181	0.0231	0.0192	0.0286	0.0297	0.0228	0.0178	0.02	0.0238	0.0175	0.0186
HCM1_1	0.003	0.002	0.0041	0.0038	0.0065	0.011000000000000001	0.0054	0.0051	0.0015	0.0018	0.0017	0.0006	0.0026	0.0042	0.0082	0.0061	0.0063	0.0025	0.0019	0.0014
HCM1_2	0.001	0.0009	0.0003	0.002	0.0037	0.0091	0.0091	0.0044	0.0008	0.0007	0.0	0.0003	0.0022	0.0035	0.0071	0.0039	0.0045	0.0043	0.0034	0.0026
INO4_1	0.0283	0.0352	0.0259	0.0232	0.0222	0.0355	0.0305	0.037000000000000005	0.035	0.0341	0.0402	0.0444	0.0367	0.0288	0.0425	0.0309	0.0331	0.0305	0.03	0.0302
INO4_3	0.0181	0.02	0.0188	0.0155	0.015	0.0196	0.0207	0.0198	0.0199	0.0209	0.025	0.0233	0.0217	0.0191	0.0252	0.0163	0.0232	0.0204	0.0204	0.0197
IXR1_2	0.1569	0.1518	0.1384	0.1084	0.14	0.1754	0.1956	0.1912	0.1667	0.1866	0.1559	0.2201	0.21899999999999997	0.1811	0.20600000000000002	0.1706	0.1592	0.1637	0.1585	0.17300000000000001
MBP1_1	0.0451	0.0624	0.0636	0.0455	0.0468	0.0587	0.0533	0.0863	0.0599	0.0593	0.0671	0.0612	0.0484	0.0183	0.0569	0.0457	0.0523	0.0433	0.0488	0.0318
MBP1_2	0.012	0.0106	0.012	0.0078	0.0067	0.0112	0.0103	0.0112	0.0113	0.0059	0.0134	0.0131	0.0103	0.009000000000000001	0.0109	0.0086	0.0071	0.0116	0.0121	0.0108
MCM1_1	0.1227	0.1371	0.1366	0.1289	0.1302	0.1547	0.1429	0.1646	0.14400000000000002	0.1607	0.1607	0.1444	0.1527	0.1391	0.1531	0.1397	0.1574	0.1405	0.1426	0.1566
MET32_1	0.0116	0.0037	0.0106	0.0053	0.0066	0.0044	0.015	0.0048	0.0052	0.0028	0.0061	0.0027	0.0063	0.0075	0.0028	0.0114	0.0075	0.0076	0.0064	0.0079
MSN2_1	0.0274	0.0337	0.0259	0.0225	0.0194	0.0275	0.0317	0.0258	0.0319	0.033	0.0364	0.0287	0.0263	0.0287	0.036000000000000004	0.0278	0.0323	0.028999999999999998	0.0343	0.0394
MSN2_2	0.0021	0.0078	0.0103	0.0049	0.0037	0.0031	0.0033	0.0088	0.0071	0.011000000000000001	0.0108	0.0131	0.016	0.0076	0.0108	0.0112	0.011000000000000001	0.0111	0.0115	0.01
MSN4_2	0.0241	0.0287	0.0305	0.0214	0.0201	0.0206	0.0201	0.0226	0.0231	0.0211	0.0258	0.0264	0.0285	0.0258	0.0358	0.0269	0.0245	0.0226	0.0298	0.0335
MSN4_3	0.0457	0.0572	0.044000000000000004	0.04	0.0369	0.0354	0.0418	0.0331	0.0385	0.0433	0.0405	0.0584	0.0578	0.0564	0.0576	0.0503	0.0551	0.0399	0.0577	0.0596
NDD1_1	0.0	0.0	0.0021	0.0	0.0014	0.0079	0.0102	0.0141	0.0141	0.0159	0.011000000000000001	0.0077	0.0062	0.0036	0.0106	0.0033	0.0069	0.0095	0.0106	0.0105
NDD1_2	0.0022	0.0001	0.006	0.0005	0.0098	0.0075	0.0091	0.0159	0.0169	0.0124	0.0105	0.008	0.0034	0.0022	0.005	0.0043	0.0088	0.0108	0.0143	0.0122
NRM1_1	0.0065	0.0032	0.0054	0.0108	0.0087	0.0195	0.0235	0.0297	0.0228	0.0234	0.023	0.0118	0.0097	0.0054	0.0144	0.0199	0.021	0.0195	0.0221	0.0172
NRM1_2	0.0	0.0	0.0001	0.0036	0.0038	0.0056	0.0126	0.0172	0.0163	0.0124	0.0049	0.0042	0.0028	0.001	0.0051	0.0055	0.0115	0.0111	0.0166	0.0107
PCL1_1	0.0029	0.002	0.0012	0.0111	0.0124	0.0065	0.0034	0.0006	0.0004	0.0006	0.0008	0.0015	0.0057	0.0051	0.0068	0.0033	0.0042	0.0017	0.0017	0.001
PCL2_2	0.0244	0.0239	0.0067	0.0045	0.0079	0.003	0.0088	0.0054	0.0048	0.0026	0.003	0.0046	0.0082	0.006999999999999999	0.0098	0.0038	0.0047	0.0044	0.0053	0.0049
PDS1_2	0.0	0.0	0.0004	0.0005	0.0048	0.006999999999999999	0.0168	0.0167	0.0191	0.0149	0.0086	0.0072	0.0038	0.0054	0.0081	0.0094	0.0108	0.0125	0.0131	0.0112
PDS1_3	0.0	0.0	0.0	0.0	0.0015	0.0006	0.0016	0.0021	0.0012	0.0022	0.0003	0.0004	0.0	0.0	0.0007	0.0016	0.0008	0.0008	0.0007	0.0006
PHD1_1	0.0019	0.0058	0.0064	0.0038	0.0029	0.0028	0.0012	0.0015	0.0017	0.0015	0.0018	0.0021	0.0033	0.0027	0.0039	0.0029	0.0041	0.0026	0.0027	0.0034
PLM2_1	0.0	0.0	0.0001	0.0002	0.0026	0.0057	0.0035	0.0023	0.0005	0.0005	0.0001	0.0003	0.0002	0.001	0.0015	0.0015	0.0017	0.0005	0.0006	0.0005
PLM2_2	0.0003	0.0005	0.0	0.0001	0.0012	0.0022	0.0018	0.0006	0.0004	0.0	0.0001	0.0001	0.0001	0.0002	0.0005	0.0009	0.0005	0.0003	0.0007	0.0002
RIM11_2	0.0681	0.0734	0.0678	0.0572	0.0599	0.0716	0.0629	0.0803	0.0695	0.0644	0.07400000000000001	0.0665	0.0625	0.0604	0.0616	0.0548	0.0639	0.0561	0.0562	0.0543
SFG1_1	0.0011	0.0	0.0002	0.0004	0.0003	0.0003	0.0004	0.0011	0.0007	0.0005	0.0007	0.0002	0.0	0.0004	0.0	0.0004	0.0006	0.0003	0.0008	0.0007
SFG1_2	0.0006	0.0009	0.0006	0.0019	0.0	0.0005	0.001	0.0043	0.006999999999999999	0.0083	0.0043	0.0029	0.0024	0.0008	0.0002	0.001	0.0034	0.0029	0.006	0.0079
SIC1_1	0.0365	0.0412	0.0365	0.0274	0.0134	0.0094	0.0064	0.0045	0.0038	0.0034	0.0073	0.0164	0.0216	0.0185	0.0148	0.0089	0.0071	0.0055	0.0067	0.0071
SIC1_2	0.0304	0.0318	0.0338	0.0295	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0103	0.0207	0.009000000000000001	0.0042	0.0038	0.0	0.0	0.0	0.0
STB1_1	0.7728	0.7086	0.7928	0.5603	1.2581	1.0434	0.7829	0.7148	1.0357	0.6611	0.9429	0.904	1.1329	1.1665	1.6384	0.9814	1.2001	1.3452	1.2387	1.3897
STB1_2	0.0264	0.0254	0.0076	0.0061	0.0076	0.0066	0.0224	0.0057	0.0124	0.0043	0.0096	0.0403	0.021	0.0707	0.0318	0.0127	0.0261	0.0387	0.0514	0.0698
STB1_3	0.1008	0.051	0.0988	0.0647	0.0621	0.0195	0.0467	0.0521	0.0633	0.0726	0.0581	0.013999999999999999	0.057	0.1081	0.1779	0.0678	0.0945	0.1242	0.0672	0.0892
SWE1_1	0.0	0.0	0.0	0.0	0.0	0.0016	0.002	0.0029	0.0012	0.0	0.0	0.0	0.0	0.0007	0.001	0.0009	0.002	0.0017	0.0012	0.0013
SWI4_1	0.0154	0.0172	0.0148	0.0202	0.0219	0.0321	0.0321	0.0322	0.0286	0.0251	0.0255	0.0256	0.0254	0.0301	0.0308	0.0295	0.0305	0.0278	0.0293	0.0303
SWI4_2	0.0121	0.0122	0.0098	0.0107	0.0183	0.0251	0.0241	0.0239	0.0222	0.017	0.0159	0.0169	0.019	0.0192	0.0251	0.0216	0.0263	0.0222	0.02	0.0198
SWI4_3	0.042	0.0436	0.031	0.0333	0.038	0.0696	0.0476	0.0692	0.0491	0.0474	0.0522	0.0659	0.0419	0.0365	0.0577	0.0503	0.0479	0.0522	0.0387	0.040999999999999995
SWI5_1	0.0	0.0	0.0011	0.0009	0.0026	0.0021	0.0018	0.0023	0.018000000000000002	0.0312	0.033	0.03	0.0162	0.0061	0.0038	0.0029	0.0081	0.0129	0.0229	0.0234
SWI5_3	0.0001	0.0003	0.0001	0.0004	0.0002	0.0003	0.0004	0.0005	0.0009	0.0022	0.0049	0.005	0.0014	0.0017	0.0003	0.0009	0.0006	0.0005	0.0008	0.0033
SWI6_1	0.0921	0.0578	0.0485	0.036000000000000004	0.0979	0.0487	0.1283	0.1325	0.0611	0.1205	0.0445	0.0693	0.1061	0.1468	0.0819	0.0439	0.0597	0.0621	0.0548	0.0634
SWI6_2	0.0224	0.0279	0.032	0.0327	0.0325	0.0346	0.0356	0.0401	0.0389	0.0412	0.0418	0.0433	0.0456	0.0424	0.0474	0.04	0.0491	0.0452	0.0433	0.0439
SWI6_3	0.0604	0.0661	0.0639	0.0565	0.0597	0.061	0.0689	0.0841	0.0763	0.0769	0.0767	0.076	0.0816	0.0697	0.0767	0.0678	0.075	0.0715	0.0766	0.0761
TAF12_1	0.0838	0.092	0.0941	0.0857	0.0855	0.1029	0.0983	0.1054	0.10099999999999999	0.1065	0.107	0.1094	0.1111	0.0945	0.11599999999999999	0.0893	0.1073	0.0879	0.0943	0.10300000000000001
TOS4_1	0.0023	0.0015	0.0007	0.0058	0.0319	0.0291	0.018000000000000002	0.0155	0.0075	0.0045	0.0021	0.0017	0.0047	0.0079	0.0103	0.0199	0.0084	0.0079	0.0094	0.002
TOS4_2	0.0	0.0	0.0008	0.0019	0.0304	0.0301	0.02	0.0166	0.0077	0.0027	0.0008	0.0015	0.0019	0.0074	0.0097	0.017	0.0098	0.0028	0.0077	0.004
UME6_1	0.0007	0.0017	0.0008	0.0	0.0009	0.0005	0.0021	0.0032	0.0018	0.0015	0.0016	0.0022	0.0012	0.0023	0.002	0.0013	0.001	0.0023	0.001	0.0017
UME6_2	0.018000000000000002	0.0161	0.0183	0.0179	0.0213	0.0242	0.0243	0.0151	0.0257	0.0256	0.0272	0.0137	0.0152	0.0254	0.0271	0.0209	0.0257	0.0244	0.0244	0.0283
VPS9_1	0.0844	0.0911	0.0897	0.0875	0.0866	0.09699999999999999	0.1063	0.1102	0.0982	0.1042	0.0949	0.1035	0.0967	0.0824	0.09699999999999999	0.0821	0.0899	0.0744	0.0876	0.0901
VPS9_2	0.1262	0.1104	0.1028	0.0836	0.1223	0.1449	0.1266	0.1493	0.1493	0.1474	0.1322	0.1563	0.145	0.1149	0.1608	0.1161	0.1339	0.1244	0.1494	0.1377
WHI5_1	0.0149	0.0084	0.0041	0.0051	0.0082	0.0095	0.0064	0.0038	0.0043	0.0024	0.0048	0.0106	0.0054	0.0042	0.0114	0.0083	0.0031	0.0029	0.0049	0.0044
YHP1_2	0.0019	0.0	0.0068	0.0	0.0018	0.0062	0.0	0.0013	0.0013	0.0036	0.0	0.0	0.0044	0.0	0.0	0.0095	0.0	0.0	0.0011	0.0
YOX1_1	0.0005	0.0025	0.0021	0.006	0.0038	0.0145	0.0083	0.0065	0.0019	0.0005	0.0008	0.0	0.0008	0.0059	0.0035	0.0007	0.0037	0.0008	0.0015	0.0007
YOX1_2	0.0	0.0	0.0	0.0042	0.0039	0.0062	0.0034	0.0	0.0	0.0	0.0	0.0	0.0019	0.0	0.0021	0.0009	0.0	0.0	0.0	0.0
YOX1_3	0.0032	0.0048	0.0071	0.0063	0.0057	0.005	0.0051	0.0065	0.0056	0.0058	0.0057	0.0029	0.0051	0.0037	0.0052	0.0058	0.0026	0.0023	0.003	0.0043
