time_points	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230
CNAG_00028	423.996	584.465	1144.65	1022.71	618.29	542.664	632.791	480.75	538.301	496.056	445.569	495.826	416.506	427.26	397.203	351.319	444.441	457.014	412.526	433.069	391.508	437.745	403.73	396.549
CNAG_00029	149.53	189.125	265.846	117.611	82.3655	92.8386	98.0826	97.4207	90.2295	101.591	86.1495	80.7534	78.7774	93.3746	83.8877	80.3466	99.3336	89.4581	86.02	105.315	90.5471	94.6729	78.3357	91.7547
CNAG_00030	23.489	38.4428	33.6971	76.2185	46.01	19.1307	31.2653	24.3552	22.6607	53.4591	66.6405	53.0917	52.7632	50.7114	31.9932	30.6615	58.2029	77.3978	60.0543	80.6845	57.6418	66.0401	57.3048	84.1965
CNAG_00031	485.11	231.573	390.554	743.224	806.199	694.842	615.236	488.163	596.641	670.49	638.303	771.4	724.091	750.047	647.194	582.966	592.074	619.792	599.433	630.927	601.196	612.605	605.535	582.344
CNAG_00032	78.5101	82.1394	75.3415	89.888	75.4235	57.9364	60.7178	133.549	98.8369	72.5373	79.1379	73.8324	73.7077	56.5907	54.9849	66.0971	83.3178	96.1153	83.7604	73.8186	65.5388	82.5762	71.7914	90.3466
CNAG_00033	1.17366	9.0052	4.54997	7.26902	8.04018	5.06122	7.83462	15.759	12.9246	7.08791	2.37992	3.69083	3.50971	1.58E-06	8.6889	0.858402	5.77522	2.09423	3.18455	1.9685	4.54E-07	10.2219	3.96179	2.46276
CNAG_00034	16897.9	31013.1	84209.8	99596.1	104163	97202	100381	123180	104439	101272	104044	100707	84689.6	89782	90295.5	83199.7	86503.2	82795.5	76204.5	74183.8	70965.6	69441.1	73651	74976.3
CNAG_00035	357.101	153.806	199.729	177.695	174.615	165.783	118.121	116.481	147.648	105.252	117.645	132.436	131.036	104.693	107.134	91.3746	116.743	107.933	128.568	134.842	118.142	104.046	105.882	124.449
CNAG_00036	680.755	71.7764	20.6616	3.83514	30.7498	20.9992	30.5849	23.2963	16.4054	16.4742	55.5803	85.5986	60.838	65.0793	51.5454	77.9835	100.358	135.16	156.316	114.173	88.8223	93.7355	104.161	132.886
CNAG_00038	2269.51	1413.88	677.7	144.457	81.2673	118.259	149.761	162.015	152.775	205.012	255.669	334.319	382.967	329.169	343.636	393.068	306.193	391.866	396.802	407.479	413.067	405.875	428.694	401.822
CNAG_00039	356.118	972.968	286.507	426.979	729.209	1090.85	919.656	870.433	706.456	507.954	394.62	469.985	473.444	479.134	464.92	429.303	399.383	381.169	386.628	470.471	438.075	395.564	471.736	402.877
CNAG_00040	8177.91	11763.3	14636.7	9203.07	6101.64	9828.73	15007.7	10672.9	6969.2	6152.19	5796.1	5013.98	4834.28	5386.49	4812.93	5102.8	4347.13	4060.62	4177.06	4322.82	4145.33	4220.91	4243.9	4155.33
CNAG_00043	622.714	146.971	137.744	297.863	281.141	322.725	291.084	411.92	433.717	462.192	472.433	425.57	402.467	449.896	417.417	551.398	418.84	458.959	427.325	416.337	414.792	435.87	464.849	552.638
CNAG_00044	2665.96	436.355	342.983	520.301	730.308	1065.43	1219.18	1310.94	1390.35	1475.36	1552.54	1694.21	1747.92	2008.97	1805.1	1925.17	1556.57	1494.53	1759.25	1915.35	1944.61	1850.34	1994.55	1838.26
